Gene,n_guides,MERS-CoV T1015N,MERS-CoV,HKU5-SARS-CoV-1-S,VSV-SARS-CoV-2-S,SARS-CoV-2 Cas9-V2 Avg.
GPC4,4,0.810428445,0.759837533,0.499490376,0.366359096,0.524097967
GPC5,3,1.06251016,0.617731128,-0.091910126,0.593358245,0.448655001
GPC6,4,-0.28714689,-0.198369168,0.387152967,-0.824423466,0.11076788
GPCPD1,3,1.525984433,0.256705074,1.354376864,0.822733203,-0.170061824
GPD1,4,0.803157147,0.871898805,-0.342433476,-0.027909566,-0.251636935
GPD1L,4,0.837370425,-0.458812865,-0.489778016,0.356142948,0.812270032
GPD2,4,-0.614126353,0.522342114,0.067345696,-1.770055812,0.026773086
GPER1,4,1.729554176,-0.991523257,-0.603911436,0.563079277,-0.254941628
GPHA2,4,1.023951284,1.432788303,-0.024337259,0.452561131,-0.069108788
GPHB5,4,2.783075878,2.404312765,1.102824574,1.413887848,-0.902931041
GPHN,4,0.347376405,0.430834199,-0.043336154,-0.907147577,0.416688231
GPIHBP1,4,-0.871148853,-0.37305244,-0.138483112,0.099703728,0.879801126
GPKOW,4,0.024640831,0.837947132,-0.570760888,-0.014291051,-2.077702439
GPLD1,4,-0.178185943,0.002157813,-1.426591154,-0.625547913,-0.212782727
GPM6A,4,0.186723171,0.096064704,-0.506197369,-0.071645426,-0.037494588
GPM6B,4,1.171709059,0.215631328,1.292388188,1.435799608,0.611424063
GPN1,4,0.553306541,0.013944726,0.006724071,0.193049418,-0.325216233
GPN2,4,-0.058587144,0.337407258,-0.685589857,-0.582353527,-2.344927749
GPN3,4,0.169729582,0.289719989,1.32451556,1.350246917,0.418260543
GPNMB,4,0.478801946,1.301685995,0.563093574,-0.391478921,-0.796876531
GPR1,4,0.942736925,0.730238952,0.419029123,0.517071964,0.770272102
GPR101,4,-0.154737096,-0.063416384,-0.586141882,0.132264689,-0.649837366
GPR107,4,-0.040117644,0.136871779,-1.168861623,0.718716675,0.905594442
GPR108,4,0.507318409,1.286128616,-0.054590942,-0.145680029,-0.071014652
GPR119,4,0.177680943,-0.092550213,-0.180920832,0.234917634,0.34792593
GPR12,4,-0.057040075,0.773374345,0.002685625,0.008886745,0.197718497
GPR132,4,-0.989926242,1.132711791,1.021743392,0.9383006,-0.489340352
GPR135,4,0.413288093,-0.130628418,-0.059662344,-0.353262763,-0.304482943
GPR137,4,0.683845791,0.473274806,0.379367446,-0.155763129,-0.215336485
GPR137B,4,0.656217049,1.203244171,-0.024981871,0.552526682,0.424795202
GPR137C,4,1.567229551,2.304098534,-1.374900439,-0.541688586,-0.008346485
GPR139,4,0.381009498,0.303711003,0.493792668,-0.533416318,0.901113009
GPR141,4,-0.275973896,0.330497745,-0.907985647,-0.293696575,-0.491578499
GPR142,4,-1.746312423,0.73756321,-0.063459218,0.807632531,-0.207512476
GPR143,4,0.565624898,0.416891142,1.311514658,1.266404419,-0.028712374
GPR146,4,-0.943879864,-0.10442552,-0.345518558,-0.377207549,1.017679685
GPR148,4,-0.176684686,-0.04209163,-0.803467515,0.651316521,-0.432209228
GPR149,4,1.126117322,2.046003836,1.340524308,0.124981267,-0.651124109
GPR15,4,-1.440814527,-1.474601137,-0.035085036,0.168527778,0.301627266
GPR150,4,1.00651131,-0.471869506,0.003065211,-1.444733565,-1.69409846
GPR151,4,0.562471722,0.346763283,-1.440138926,-0.690065781,-0.070837021
GPR152,4,-1.464805378,-1.249821983,-1.00949848,-0.093149982,0.371446933
GPR153,4,-0.53656875,-0.047157646,0.604019488,1.045876419,0.603383559
GPR155,4,1.001950226,2.560580887,0.355758212,-0.83054662,-0.459669009
GPR156,4,-0.138514546,0.588720095,-0.033290887,-0.040626721,0.301946502
GPR157,4,0.622535027,1.330394645,8.97E-04,-0.053172553,-0.12908429
GPR158,4,0.967693612,-0.483796459,0.996806212,1.938088018,0.225017051
GPR160,4,-0.126607872,-1.482617009,1.10031037,0.358277546,0.036163384
GPR161,4,1.291190305,1.707421945,1.022219382,0.500775255,-0.227539672
GPR162,4,-0.635865594,-0.44609533,0.966158991,-0.936944516,0.607998358
GPR17,4,1.800693837,1.227116758,1.670282933,0.907238996,0.854385804
GPR171,4,-2.066433213,-2.387620522,-0.611855039,0.087447748,0.465961711
GPR173,4,-0.534670121,-0.934787995,1.08450785,0.66447557,0.024306592
GPR174,4,-0.121050083,-0.831921807,-0.885699687,-2.693527939,-0.974159415
GPR176,4,0.467065982,1.545969918,-1.028240561,-0.684126545,0.130143943
GPR179,4,0.323361973,0.205548691,-1.239022726,-0.473216232,-0.296464509
GPR18,4,0.689696897,0.642104456,1.567094501,0.524492498,-0.064082402
GPR180,4,-0.296487809,-0.7543053,-1.162553002,0.42679416,-0.351080152
GPR182,4,1.072272424,0.626812145,1.070217662,1.165994033,0.340625183
GPR183,4,-1.036271306,-2.093168099,-1.00136375,-0.012206945,0.956045477
GPR19,4,-0.297777684,-1.606623115,-1.269462369,-0.675044113,0.492683144
GPR20,4,0.508094107,0.146845389,-0.13287343,1.447283275,-0.686018957
GPR21,4,1.281561233,0.34990177,-0.142967932,-0.335355865,-0.452451492
GPR22,4,-1.000740764,-1.588233209,0.218748782,-0.97338525,-0.271120413
GPR25,4,-1.466918972,0.361684287,-0.286128554,-0.876835238,0.829435137
GPR26,4,0.936193953,0.384172338,0.703020482,0.39072643,0.318386368
GPR27,4,-0.619642513,-0.286193211,-1.503850486,-1.426751749,-0.194690117
GPR3,4,1.402207726,1.4828553,1.243001633,0.95624573,0.55761964
GPR31,4,-0.490364647,-0.384874062,-0.754880125,-0.331200385,0.492017251
GPR32,4,-0.046774657,-0.3908285,0.00247215,0.293895768,-0.795640848
GPR33,4,1.009332818,-0.240882828,0.105871985,1.06689148,1.329363347
GPR34,4,-0.291672101,0.006928599,0.495746023,1.740748192,1.360918206
GPR35,4,-0.329851444,-0.942868132,-1.376897755,-0.373642871,0.065054772
GPR37,4,-2.127953294,0.128414989,0.743313675,0.049116779,1.413900538
GPR37L1,4,0.367172578,0.01712211,0.605555865,-0.122076625,-0.415233123
GPR4,4,0.796926532,-0.052314809,-1.149704668,-0.616202324,-0.623101767
GPR45,4,-1.011717222,-0.609271038,-0.418374199,0.291450776,-0.900154563
GPR50,4,0.587332447,-0.09563499,0.133710846,1.369937066,-0.33365934
GPR52,4,-0.045876397,0.424822024,-0.027812566,-0.380056383,-0.710141962
GPR55,4,0.247135474,-0.303416949,-0.797789095,-1.250713482,-0.587326988
GPR6,4,1.237617318,-0.431298252,0.80442221,2.053316294,0.27034573
GPR61,4,-0.19855955,-0.227315411,1.796446376,0.508220215,0.58677978
GPR62,3,0.670298658,-0.018824598,-1.359378649,-0.713031941,-0.101236921
GPR63,4,-1.416634919,-0.978425278,-0.923878969,-0.127949417,1.816823139
GPR65,4,0.679139638,1.056703458,2.749534303,2.423484227,1.186486489
GPR68,4,-0.720890939,-0.530495974,-0.644782236,-0.156731089,0.118112067
GPR75,4,-0.92880004,-0.599793097,0.71977746,0.879907218,-0.080245056
GPR78,4,-1.158906389,0.375158198,0.224598485,0.545449856,-0.36927051
GPR82,4,0.855593445,-0.427610866,-0.81124274,0.625545794,0.483652398
GPR83,4,0.640589688,0.297418389,-0.306240843,1.688452921,0.016410646
GPR84,4,0.831184431,0.632639938,1.328192039,-0.294245538,-0.012791539
GPR85,4,-1.353665535,-1.05061571,0.860836979,0.519034198,0.583070461
GPR87,4,-0.800270634,-0.525801922,-0.072674714,0.362080471,-0.258056526
GPR88,4,1.749732963,2.035484916,-1.416573297,-1.344581387,-0.273652265
GPR89A,4,2.281552139,0.281321366,-0.780695463,0.268127991,0.401356836
GPRASP1,4,-1.116719838,0.21918145,0.912544967,-0.035515369,-0.63430892
GPRASP2,4,1.519355173,0.671377432,1.424853505,0.22276715,0.43761749
GPRC5A,4,0.493405264,-0.414098075,1.411455052,1.178708533,0.045225443
GPRC5B,4,1.087480562,1.369169131,0.364523861,0.151528502,0.271625225
GPRC5C,4,-0.111395569,-1.395251355,-0.121433566,-0.876748458,-0.438007102
GPRC5D,4,0.484459885,0.282237726,0.948364979,1.55211547,2.531757877
GPRC6A,4,1.03289589,0.225881245,-0.061458222,-0.353005532,-0.674745238
GPRIN1,4,-0.487933961,0.684110234,-0.976789732,-1.073729948,0.399036893
GPRIN2,4,1.68855515,1.415888788,0.450372765,-0.485465441,-0.620744209
GPRIN3,4,1.137110356,0.72925441,0.531616818,0.102810036,-0.838929422
GPS1,4,-1.138817134,-1.082639698,0.195942951,-0.005458057,0.318595695
GPS2,4,-0.519293841,-1.530977113,0.616432581,1.477316285,0.309818295
GPSM1,4,1.40106433,0.898065355,1.442747602,2.978004538,2.328272776
GPSM2,4,0.46912327,0.191116459,0.094144714,-0.833010198,1.251914415
GPSM3,4,0.980936656,0.8062336,0.153664867,0.720235841,1.299228011
GPT,4,0.902037472,1.28441393,-1.904307316,-1.313560919,-1.614564878
GPT2,4,2.028981149,1.410973321,-0.0115671,1.501088637,0.654044137
GPX1,4,-0.520067292,1.015960327,0.191800533,1.422131221,1.698550825
GPX2,3,0.61680575,0.701734853,1.728628306,1.37706374,0.563617789
GPX3,4,2.0355565,0.959984528,0.142099295,-0.391311292,-0.20654299
GPX4,4,-0.865451288,-1.746659961,-1.579105918,-0.79141534,-1.011927624
GPX5,4,1.684991642,2.088653659,0.971107078,1.06771935,0.429571432
GPX6,4,2.067273486,1.375884458,-0.761120485,-0.173151853,-0.424217706
GPX7,4,-0.638775811,-0.463032627,-0.109233776,-0.756853528,-0.623805562
GPX8,4,0.644069567,-0.031520001,0.69100038,-0.143023916,0.325054031
GRAMD1A,4,-1.196323516,-1.452670283,0.737459214,0.682935497,0.543394247
GRAMD1B,4,0.437980288,0.068050055,0.140010381,0.362245506,0.820298092
GRAMD1C,4,-0.182656618,-0.183381893,-0.732389367,-0.823483992,1.280919553
GRAMD2A,4,-1.360505026,-0.127950432,0.534586493,-0.786478206,0.756955257
GRAMD2B,3,2.667973029,3.586811076,3.70317051,3.009774084,1.377482321
GRAMD4,4,-0.217551607,-1.088449954,-0.078578087,0.566937527,0.468202293
GRAP,4,0.823142396,1.243108264,0.645513559,0.108783088,0.101467875
GRAP2,4,-0.86214631,0.492355866,-0.855968739,0.447548184,0.922941503
GRB10,4,0.228578183,-0.442965867,-0.326251409,-0.148934973,-1.012460183
GRB14,4,-0.801158798,-1.545512588,-0.097268161,0.081316668,0.951299193
GRB2,4,0.727661713,0.013402894,0.025416192,-0.087197749,-0.276237499
GRB7,4,0.487182417,0.245234801,0.091090262,-0.331019322,0.468608513
GREB1,4,0.563676154,1.886170428,0.027101563,0.864689415,0.186729668
GREB1L,4,-0.798012947,-0.664959182,0.782140186,0.765712586,0.325949712
GREM1,4,2.516790628,2.560292001,0.782902955,0.386062471,0.259416345
GREM2,4,-0.751364521,-0.513099371,0.005123407,0.907695958,0.83286684
GRHL1,4,1.751123963,1.706991003,0.295929294,0.964957475,0.430512282
GRHL2,4,-0.369111866,0.1534127,-0.098278365,0.849034413,0.203501832
GRHL3,4,-0.71243389,0.265648001,0.53664671,0.868773924,0.385463942
GRHPR,4,0.618621963,1.853295099,0.541613949,0.062108903,-0.56176427
GRIA1,4,0.207562359,-1.700918723,-2.447628846,-0.711284739,-0.842079404
GRIA2,4,-0.314021979,-1.014964709,-0.190069883,-1.203289789,-0.229826734
GRIA3,4,-0.355417611,-0.013842117,0.499398706,0.69728477,0.059480157
GRIA4,4,1.782578836,0.67351047,1.161819019,1.036819861,0.834092849
GRID1,4,-0.55216454,0.838193985,-0.817342078,-0.326647173,0.214454393
GRID2,3,1.632236792,0.747893165,0.500080008,1.281313377,-0.007704726
GRID2IP,4,-0.612503318,-1.445370935,-2.094025426,-0.927455537,0.824539897
GRIK1,4,-1.114304864,-0.179459483,0.1504945,-0.52769367,-0.710010885
GRIK2,4,-0.602577952,-0.365794193,0.569020409,0.892700395,0.557363507
GRIK3,4,0.712538486,-0.933397173,0.18414394,1.065156709,1.264921469
GRIK4,4,-0.801663763,-0.288164461,-1.534324654,-1.935514208,-0.512918639
GRIK5,4,0.017968348,-0.489369741,0.39972348,0.355140466,1.02731816
GRIN1,4,0.651719678,1.077908346,2.020880164,0.884736843,-0.23181965
GRIN2A,4,0.359032415,0.808313946,-0.905687614,-1.63406972,-0.32070046
GRIN2B,4,-0.502711282,-0.794717087,-0.11080399,-0.221981445,0.917897998
GRIN2C,4,-0.036916956,0.225476998,-0.891725067,-0.467851521,-0.552753782
GRIN2D,4,0.348107633,-0.880480486,-0.809129234,-0.21116097,0.636495022
GRIN3A,4,0.484670662,-1.162515023,-0.770843772,-1.40298387,-1.125189127
GRIN3B,4,-0.354811787,0.847619832,-1.539034366,-1.572446603,-1.568356834
GRINA,4,1.112007606,-0.325161062,0.353492896,0.175802271,-0.804055264
GRIP1,4,-0.937395361,-1.324318439,-0.522618782,-0.642552056,-0.493382809
GRIP2,4,-0.059224574,-0.627388123,-0.112448325,-1.307710629,0.204374391
GRIPAP1,4,-0.459837041,-1.33464345,0.834606891,0.616635914,0.798051886
GRK1,4,-0.262337887,-1.235173995,-1.728379497,-0.008572096,-0.748183121
GRK2,4,1.244142045,1.619736625,0.53840715,1.31751172,0.305397246
GRK3,4,-1.536406163,-0.806995861,-0.947946863,-0.564444834,-0.687426504
GRK4,4,-1.371822157,-0.263062245,0.158592167,-0.275865386,0.145131826
GRK5,4,2.003478847,1.846290251,1.335794665,0.866315119,1.208532537
GRK6,4,0.471372907,0.160007648,1.652864319,0.352359688,0.115834577
GRK7,4,0.154468302,-0.032874771,-0.010905588,-1.063206127,-0.214328815
GRM1,4,-0.54498233,-0.742693622,1.86608758,0.407176299,0.127009392
GRM2,4,-0.894594696,-1.042411808,0.22772053,-0.186016534,0.435627277
GRM3,4,0.884484568,0.181216043,-0.238223711,0.007373726,-0.688680005
GRM4,4,0.97269453,0.017409359,-0.054032631,0.157839812,-0.568549048
GRM5,4,0.280773525,1.119995177,-1.169837287,-0.106620846,0.278515873
GRM6,4,0.537750437,0.791509223,-0.775878647,-0.906674946,-1.516194806
GRM7,4,0.427566469,0.583150587,1.090456182,1.113678679,-0.342693445
GRM8,4,-0.076196806,0.938867903,1.143028624,2.314351333,-0.372999373
GRN,4,-1.146038503,-1.231043138,0.237182811,-0.168831396,-0.303908547
GRP,4,0.051310754,0.696747961,1.5833447,2.185463541,1.862195179
GRPEL1,4,-0.171752901,-0.242039964,-0.26630879,-0.286086507,-1.221126283
GRPEL2,4,0.909366301,0.557433346,0.628900407,-0.419517613,0.709781232
GRPR,4,-0.091399602,-0.225417846,-0.119770418,0.763916354,1.572981897
GRSF1,4,0.998580975,-0.141562148,0.173255919,-0.638342264,-0.117079461
GRTP1,4,-0.051415139,-1.405663924,1.031526043,-0.28277912,-0.375683837
GRWD1,4,0.521478865,0.009124465,-0.213204975,0.657811067,-1.977753908
GRXCR1,4,-0.885149742,-1.03781474,-1.545219387,-0.179231653,-0.281182716
GRXCR2,4,-1.0199997,1.295272376,-2.224535243,-0.697254193,-0.471759626
GSAP,4,0.12692158,0.848367591,0.034280025,0.64255376,0.887610247
GSC,4,-1.382085803,-1.308969268,0.687353276,0.621692429,0.109996994
GSC2,4,0.586457141,0.964977727,-0.198709004,-0.23109893,0.249916226
GSDMA,4,0.162803761,-0.355275594,-0.498774107,-1.194046145,-0.090774445
GSDMB,4,0.820225115,-0.573000732,1.06339002,1.908226431,1.445808127
GSDMC,4,-0.091982381,0.229258534,-0.306640985,-0.034139664,-1.582891394
GSDMD,4,-0.972631567,-1.436487291,0.707541886,1.384476228,0.848744951
GSDME,4,1.648186326,0.909575846,1.02756485,0.747322789,-0.105820774
GSE1,4,0.426402115,1.275281385,-0.349164778,-0.551517318,0.067046203
GSG1,4,-2.236006698,-1.107061206,-0.893186625,-1.16989092,-0.362700155
GSG1L,4,1.092294294,2.349269345,-0.15771828,-0.347975727,-0.051246436
GSK3A,4,0.070916131,-0.195351267,0.573961247,0.13589784,1.118523859
GSK3B,4,-1.521432245,-1.573826653,0.091439487,-0.059699632,0.564029802
GSKIP,4,0.863859293,0.104490161,0.411820543,0.546164047,0.83549687
GSN,4,1.077070664,0.74730535,-0.786984544,-0.279763287,0.723056143
GSPT1,4,1.39149964,-1.07217501,0.170171044,0.307834283,-0.121707288
GSPT2,4,0.789022189,1.447464143,2.100588128,0.733272047,0.383473959
GSR,4,0.27496275,-1.261879086,0.222162913,1.341241285,-0.146462527
GSS,4,-0.249861808,0.016825154,-0.402999884,-0.091373323,1.013225379
GSTA3,5,1.173875158,0.935214946,0.360318548,1.910930112,0.39889902
GSTA4,4,1.897451031,3.501330633,-1.372659022,0.969397018,-0.060379573
GSTA5,5,0.107567273,0.693342589,-0.797053508,-1.375249835,0.013710095
GSTCD,4,-0.616803923,-0.565324448,0.625354782,-0.873546286,0.294615998
GSTK1,4,-1.75739733,-1.017261454,-0.307261764,0.264899202,1.017394801
GSTM1,4,0.073601326,0.182472198,-1.044351971,-0.372646825,1.127476651
GSTM3,4,0.715862907,1.592588256,-0.108431897,-0.237611183,-0.109524519
GSTM5,4,0.890285734,1.22777788,-0.594085458,-1.202239594,-0.711249519
GSTO1,4,1.154513174,0.548580754,0.989646789,1.168046392,0.540650485
GSTO2,4,-0.629711532,-0.02829608,0.341074442,-0.476874684,-0.085351919
GSTP1,4,-0.395381428,-1.150962458,2.113831302,0.648057777,0.392275444
GSTZ1,4,2.602619922,1.172632803,0.063050257,0.016676509,-0.042641921
GSX1,4,0.22747411,-0.641475675,-0.268292771,0.18586977,0.139444184
GSX2,4,0.335399974,0.247205448,0.285938981,0.142348869,-0.674634616
GTDC1,4,-0.62556623,-1.685327719,0.435589886,-0.122427072,0.539481592
GTF2A1,4,1.283816688,2.764878811,-1.317324558,-1.107355911,-0.018436083
GTF2A1L,4,-0.309071002,-1.201499263,-1.647404528,-1.534289917,-0.65301473
GTF2A2,4,-0.289591201,-0.482344154,-0.229034122,-0.528671601,-0.852319166
GTF2B,4,0.060102831,-1.146998216,-0.14604786,-0.388869378,-0.858190581
GTF2E1,5,0.720719117,-0.711932818,-1.229295505,0.25485317,-1.142905074
GTF2E2,4,-0.461932282,-0.447607103,-0.628984233,-0.750757718,-1.924086591
GTF2F1,4,0.016578912,-0.814825253,-0.111908566,-0.143048374,-1.310005473
GTF2F2,4,0.542341275,0.279360214,2.562484233,2.741214671,0.240211774
GTF2H1,4,-0.275891479,-0.589971583,0.016070925,-0.837874759,-1.557742754
GTF2H2,4,-1.035292309,-0.9666609,-0.085525029,0.445954429,-3.596645443
GTF2H3,4,-1.256207678,-0.441000622,-0.863560119,-0.413656972,-2.890093898
GTF2H4,4,-0.767974422,-0.501536248,-0.728751433,-1.140588222,-2.596028573
GTF2I,4,0.209981774,0.794140117,0.416996532,0.083884121,-1.437815365
GTF2IRD1,4,1.463250751,1.865323555,0.001153921,-0.539999126,-0.853149922
GTF3A,4,0.082016485,1.009454448,1.388832211,1.609004032,-0.074101656
GTF3C1,4,-0.004209771,1.048808928,0.612555609,1.282933244,-1.775864584
GTF3C2,4,-0.042189174,-0.016767414,0.084636556,0.044193551,-0.9428779
GTF3C3,4,0.002668804,-1.056630786,-0.42494043,-0.645500992,-1.284836779
GTF3C4,4,-0.098308882,0.497908947,0.639011709,-0.250517513,-2.223552146
GTF3C5,4,1.150906936,0.652081316,-1.362668218,-1.021070737,-1.106873303
GTF3C6,4,-1.639064953,-1.573837561,-2.262944122,0.265905136,-0.33494706
GTPBP1,4,0.578516834,0.504887418,-0.9351856,-0.990107957,0.475011232
GTPBP10,4,-1.034276386,-0.52934536,-1.538524982,-1.566243026,-0.217480302
GTPBP2,4,1.803595526,1.188524926,-0.037315015,-0.868893505,-0.62055197
GTPBP4,4,-0.252795266,-0.667125777,0.191557104,-0.078492614,-0.448792698
GTPBP6,4,-1.101280049,-1.457840224,-0.66892212,-0.634107045,0.253489811
GTPBP8,4,-2.527431458,-1.945687753,-2.076214856,-1.1943372,-0.366069077
GTSCR1,4,-0.91648169,-0.882228438,-0.27302662,-0.087821801,1.016513435
GTSE1,4,-0.4147843,0.423216181,-0.177219796,-0.586119016,-1.475446263
GTSF1,4,1.634616645,0.281155724,0.696629234,1.986674584,1.818805064
GTSF1L,4,0.455504767,-1.837103417,-0.326322012,0.10410319,0.139877264
GUCA1A,4,2.273463047,0.374332151,0.681707269,0.856607068,-0.31872044
GUCA1B,4,0.629054686,1.344067038,1.525610465,1.355641895,-0.209096375
GUCA1C,4,-0.801963744,0.221260011,-0.904856218,-0.105899621,0.409196047
GUCA2A,4,-0.441989093,0.525054142,0.687922436,-0.985865759,-0.144733705
GUCA2B,4,1.470858361,0.671456524,0.878742638,-0.55922965,0.077325962
GUCD1,4,-1.380263323,-1.35795212,-0.254719718,-0.171614965,0.590710938
GUCY1A1,4,-0.762018674,-0.324146115,0.419564809,-0.176767375,0.134175144
GUCY1A2,4,0.159997379,-0.733509646,-2.509186927,-0.673136266,0.114394615
GUCY1B1,4,-0.836421395,-1.019562266,-1.404741193,-0.78205701,0.541704896
GUCY2C,4,-1.22015564,-1.084436905,0.100455726,0.520291012,-0.146061749
GUCY2D,4,-1.190369326,0.623330842,-0.147542729,0.615162431,-0.791791859
GUCY2F,4,0.465286618,2.103929185,-0.824848608,0.313426367,0.801642443
GUF1,4,0.250702431,0.663504791,-0.93998644,0.247241135,-0.989878438
GUK1,4,0.793724845,1.197484711,-0.850948193,-0.64320917,-1.984579972
GULP1,4,1.748283063,-0.226515144,-0.570358253,0.965243533,0.28997103
GUSB,4,-1.749412209,-1.44544075,-1.496840549,-0.756830468,0.280722651
GVQW3,4,-1.39037953,-1.503544531,-0.533462064,0.343431474,1.123611712
GXYLT1,4,0.169604122,-1.446265355,1.679772769,1.083781016,0.846405414
GXYLT2,4,-1.448464685,0.346794269,-1.303384068,-1.349852602,0.153553105
GYG1,4,1.907596978,1.513106308,1.223382647,1.302208592,-0.646974213
GYG2,4,-0.274473056,0.332808422,-0.257635234,0.869541072,0.264324996
GYPA,4,1.355698853,0.074114179,-0.54019873,-0.62951698,0.085838102
GYPC,4,-1.336460708,-1.087279361,1.675769557,1.41694971,1.013451682
GYS1,4,0.243795774,-0.074883993,0.189711929,-0.160026301,1.909746909
GYS2,4,0.102704527,1.00048696,-0.940709019,0.158447292,-0.43641339
GZF1,4,0.611408383,1.011158221,1.965478785,0.72485239,1.742267886
GZMA,4,1.163662902,0.461363267,0.060780125,0.977502909,-0.077559104
GZMB,4,0.740504535,0.065825717,-0.246201628,-0.164799773,0.103474754
GZMH,4,1.360407049,2.559851528,2.167670442,1.957412323,0.111122442
GZMK,4,-0.911862577,-0.551320877,0.755038261,0.005392257,-0.407930679
GZMM,4,0.656467995,0.146031476,1.020524632,-0.497990331,0.185451178
H1-1,4,0.224720311,-0.663648582,0.511447399,1.45678672,0.988117317
H1-2,4,-0.076599917,0.829163697,-1.526922644,-2.009793229,-1.723622615
H1-3,4,-0.59403098,-1.057120192,-0.233667163,-0.349142977,-0.727251881
H1-4,4,-1.757165983,-1.031268607,-4.001945554,-4.679981126,-2.732168732
H1-5,4,1.798061173,0.609387892,2.446971014,0.968663313,1.113451301
H1-6,4,1.304536847,0.983753804,-2.600388815,-1.144401607,-0.091606269
H19,4,-0.089314767,-0.509979151,0.682773879,-0.897655907,1.095240291
H1F0,4,0.75839865,0.116455983,-0.271938981,-0.008541341,-0.479254543
H1FOO,4,-0.420488344,-0.755606318,0.245234171,-1.157062404,0.067908019
H1FX,4,-1.27557746,-0.756700769,-0.525957508,1.047095512,0.890858634
H2AFJ,4,0.804713952,0.2905972,0.226435688,-1.253888921,0.027035049
H2AFV,4,1.174104002,-0.84493724,0.187252514,1.22730186,1.565577023
H2AFX,4,-2.316080596,-0.657929046,-0.495444535,-0.860817424,-0.377768675
H2AFY,4,1.298209604,1.779879954,1.302119829,0.414216077,-0.408916079
H2AFY2,4,1.010519663,1.933450924,1.436265961,0.444918715,0.530760163
H3F3A,2,-0.529920918,0.148864995,-1.188708022,-0.417680036,0.907814678
H3F3B,4,0.193364506,0.353259577,0.442359893,-0.441391094,-1.728894806
H6PD,4,-0.187429278,-1.337606527,0.451642341,-0.12563017,-0.360886876
HAAO,4,0.492931163,1.062918056,0.653036482,0.915120483,0.692947983
HABP2,4,0.178394238,-0.291804743,-1.306385588,-0.246527955,-0.06274899
HABP4,4,1.232018688,1.531166567,-0.692204338,0.101020616,-0.387060905
HACD1,4,0.90417041,0.906463893,0.37080438,0.820111456,-0.417591102
HACD2,4,-2.277500009,-2.388610351,-1.595602605,-1.711190286,-0.785395283
HACD3,4,-0.371171545,0.565247899,1.218881603,-0.377537921,1.280454183
HACD4,4,-0.779031884,-0.193324518,0.439583432,1.384775569,-0.123259203
HACE1,4,0.271214934,0.950323575,-1.799082013,-0.491718173,-0.841586351
HACL1,4,1.460194695,1.218751344,-2.329205077,-0.937081573,-0.982001492
HADH,4,0.814333786,0.122746582,-0.354513645,0.333409733,0.202619023
HADHA,4,-0.941694739,-0.318743742,-0.476070634,-0.390471471,-1.125333666
HADHB,4,0.091989894,-1.387305688,0.221488942,-0.52962051,0.341123265
HAGH,4,0.812421106,0.380136153,-0.535318232,1.474973819,-0.279288454
HAGHL,4,0.163569115,0.304446204,0.400403033,-0.293991706,-0.242561531
HAL,4,-0.418517535,-0.093055607,-0.595266469,-0.785827689,-1.010649879
HAMP,4,1.24844435,1.708231903,1.083680422,-0.133778766,-0.728302263
HAND1,4,-0.206826437,-0.700669825,0.170949038,0.379212177,0.562571143
HAND2,4,-0.516399519,-0.554869021,-1.558311227,-0.376470057,-0.111570886
HAO1,4,0.130970899,0.499333187,0.920002114,1.127159107,0.093220034
HAO2,4,-1.484062627,-1.321185563,-0.25709503,-0.937231649,0.227732687
HAP1,4,0.706703013,0.389937184,-0.170812135,-0.423855227,0.836447955
HAPLN1,4,2.347196156,1.622387038,1.151734872,0.126033704,1.165753026
HAPLN2,4,0.241228416,-0.527886925,0.499793555,0.40751375,0.374606768
HAPLN4,4,-1.127839581,0.338309251,-0.223740306,-0.401914008,0.843459138
HARBI1,4,1.280984191,1.036387863,-0.82787797,-0.179946683,0.425074893
HARS1,4,1.248365435,1.7332785,0.75820089,1.209551077,0.982570274
HARS2,4,-0.202489264,-0.545728259,-0.765754711,-0.326450975,-3.227115576
HAS1,4,-1.340400969,0.180933044,0.282453772,1.444418065,0.985768181
HAS2,4,1.355404284,1.690950199,0.307313461,0.57694086,1.09812392
HAS3,4,-0.500880293,-0.371162043,-0.497885405,1.15747857,-0.04150758
HASPIN,4,0.139378188,-1.220924079,0.581202569,0.517357888,-0.33913135
HAT1,4,1.062670881,0.476704329,3.814632816,4.232061401,2.286267231
HAUS1,4,0.970318075,1.63193684,0.45149878,1.091966884,-0.596525581
HAUS2,4,-0.812816014,-0.690211663,-1.242230595,0.473618124,0.682799614
HAUS3,4,0.106411501,0.150764656,-0.477931024,0.400759476,-1.186461331
HAUS4,4,-0.302462931,0.103180041,-0.874238327,-0.637054618,-1.209627168
HAUS5,4,0.994451089,1.672467009,2.052365704,1.20793777,0.441640898
HAUS6,4,0.127933677,0.106454376,0.068559978,0.370115314,-0.552704599
HAUS7,4,-0.975442118,-0.373115747,0.077293144,-0.602427493,-1.129170425
HAUS8,4,0.554693764,0.626405725,-0.203541473,0.077815291,-1.114149043
HAVCR1,4,-1.078803163,-0.675851978,-0.336352691,0.665946874,0.453309609
HAVCR2,4,-0.780259901,-1.704637042,-0.847820359,-0.173356789,0.751307243
HAX1,4,-0.223905965,-0.506493692,-0.504086248,-0.065742335,-0.663622137
HBA,8,-1.014237215,-0.730200424,-0.01434668,0.137584268,0.607497313
HBB,4,-0.824932227,-0.826642252,1.529322495,0.269098839,-0.486515887
